country	indicator	date	year_week	value	source	url
Cyprus	Daily hospital occupancy	17-07-2020	2020-W29	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	18-07-2020	2020-W29	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	19-07-2020	2020-W29	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	20-07-2020	2020-W30	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	21-07-2020	2020-W30	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	22-07-2020	2020-W30	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	23-07-2020	2020-W30	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	24-07-2020	2020-W30	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	25-07-2020	2020-W30	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	26-07-2020	2020-W30	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	27-07-2020	2020-W31	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	28-07-2020	2020-W31	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	29-07-2020	2020-W31	0	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	30-07-2020	2020-W31	6	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	31-07-2020	2020-W31	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	01-08-2020	2020-W31	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	02-08-2020	2020-W31	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	03-08-2020	2020-W32	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	04-08-2020	2020-W32	5	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	05-08-2020	2020-W32	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	06-08-2020	2020-W32	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	07-08-2020	2020-W32	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	08-08-2020	2020-W32	5	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	09-08-2020	2020-W32	5	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	10-08-2020	2020-W33	5	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	11-08-2020	2020-W33	5	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	12-08-2020	2020-W33	3	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	13-08-2020	2020-W33	3	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	14-08-2020	2020-W33	3	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	15-08-2020	2020-W33	3	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	16-08-2020	2020-W33	2	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	17-08-2020	2020-W34	2	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	18-08-2020	2020-W34	2	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	19-08-2020	2020-W34	2	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	20-08-2020	2020-W34	2	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	21-08-2020	2020-W34	3	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	22-08-2020	2020-W34	2	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	23-08-2020	2020-W34	3	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	24-08-2020	2020-W35	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	25-08-2020	2020-W35	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	26-08-2020	2020-W35	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	27-08-2020	2020-W35	5	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	28-08-2020	2020-W35	5	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	29-08-2020	2020-W35	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	30-08-2020	2020-W35	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	31-08-2020	2020-W36	8	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	01-09-2020	2020-W36	6	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	02-09-2020	2020-W36	6	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	03-09-2020	2020-W36	6	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	04-09-2020	2020-W36	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	05-09-2020	2020-W36	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	06-09-2020	2020-W36	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	07-09-2020	2020-W37	2	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	08-09-2020	2020-W37	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	09-09-2020	2020-W37	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	10-09-2020	2020-W37	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	11-09-2020	2020-W37	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	12-09-2020	2020-W37	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	13-09-2020	2020-W37	4	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	14-09-2020	2020-W38	5	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	15-09-2020	2020-W38	6	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	16-09-2020	2020-W38	6	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	17-09-2020	2020-W38	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	18-09-2020	2020-W38	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	19-09-2020	2020-W38	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	20-09-2020	2020-W38	6	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	21-09-2020	2020-W39	9	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	22-09-2020	2020-W39	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	23-09-2020	2020-W39	12	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	24-09-2020	2020-W39	12	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	25-09-2020	2020-W39	14	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	26-09-2020	2020-W39	14	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	27-09-2020	2020-W39	17	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	28-09-2020	2020-W40	15	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	29-09-2020	2020-W40	16	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	30-09-2020	2020-W40	12	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	01-10-2020	2020-W40	12	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	02-10-2020	2020-W40	11	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	03-10-2020	2020-W40	13	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	04-10-2020	2020-W40	11	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	05-10-2020	2020-W41	11	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	06-10-2020	2020-W41	9	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	07-10-2020	2020-W41	6	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	08-10-2020	2020-W41	8	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	09-10-2020	2020-W41	5	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	10-10-2020	2020-W41	5	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	11-10-2020	2020-W41	5	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	12-10-2020	2020-W42	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	13-10-2020	2020-W42	7	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	14-10-2020	2020-W42	8	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	15-10-2020	2020-W42	9	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	16-10-2020	2020-W42	12	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	17-10-2020	2020-W42	21	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	18-10-2020	2020-W42	19	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	19-10-2020	2020-W43	23	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	20-10-2020	2020-W43	24	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	21-10-2020	2020-W43	23	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	22-10-2020	2020-W43	26	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	23-10-2020	2020-W43	26	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	24-10-2020	2020-W43	28	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	25-10-2020	2020-W43	32	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	26-10-2020	2020-W44	31	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	27-10-2020	2020-W44	31	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	28-10-2020	2020-W44	38	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	29-10-2020	2020-W44	38	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	30-10-2020	2020-W44	34	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	31-10-2020	2020-W44	37	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	01-11-2020	2020-W44	39	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	02-11-2020	2020-W45	40	Country_Website	https://www.data.gov.cy/search/type/dataset
Cyprus	Daily hospital occupancy	03-11-2020	2020-W45	42	Country_Website	https://www.data.gov.cy/search/type/dataset
